"_id","type","properties","geometry"
"65f1a72d24cfb376c41da3df","Feature","{""GRID_ID"":""K-2"",""ORIGIN_ID"":123,""LAT"":1.300127769,""LONG"":103.842176806,""COORD"":""(103.842176806, 1.300127769)""}","{""type"":""Point"",""coordinates"":[103.84217680600005,1.300127769000028]}"
"65f1a72d24cfb376c41da366","Feature","{""GRID_ID"":""O-13"",""ORIGIN_ID"":2,""LAT"":1.285090645,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.285090645)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.285090645000025]}"
"65f1a72d24cfb376c41da36a","Feature","{""GRID_ID"":""E-12"",""ORIGIN_ID"":6,""LAT"":1.286457656,""LONG"":103.835073606,""COORD"":""(103.835073606, 1.286457656)""}","{""type"":""Point"",""coordinates"":[103.83507360600004,1.286457656000039]}"
"65f1a72d24cfb376c41da377","Feature","{""GRID_ID"":""J-11"",""ORIGIN_ID"":19,""LAT"":1.288508173,""LONG"":103.840992939,""COORD"":""(103.840992939, 1.288508173)""}","{""type"":""Point"",""coordinates"":[103.84099293900005,1.288508173000025]}"
"65f1a72d24cfb376c41da37b","Feature","{""GRID_ID"":""N-11"",""ORIGIN_ID"":23,""LAT"":1.288508173,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.288508173)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.288508173000025]}"
"65f1a72d24cfb376c41da384","Feature","{""GRID_ID"":""I-10"",""ORIGIN_ID"":32,""LAT"":1.289191679,""LONG"":103.839809073,""COORD"":""(103.839809073, 1.289191679)""}","{""type"":""Point"",""coordinates"":[103.83980907300008,1.289191679000055]}"
"65f1a72d24cfb376c41da385","Feature","{""GRID_ID"":""J-10"",""ORIGIN_ID"":33,""LAT"":1.289875184,""LONG"":103.840992939,""COORD"":""(103.840992939, 1.289875184)""}","{""type"":""Point"",""coordinates"":[103.84099293900005,1.289875184000039]}"
"65f1a72d24cfb376c41da38a","Feature","{""GRID_ID"":""O-10"",""ORIGIN_ID"":38,""LAT"":1.289191679,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.289191679)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.289191679000055]}"
"65f1a72d24cfb376c41da38b","Feature","{""GRID_ID"":""P-10"",""ORIGIN_ID"":39,""LAT"":1.289875184,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.289875184)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.289875184000039]}"
"65f1a72d24cfb376c41da391","Feature","{""GRID_ID"":""H-9"",""ORIGIN_ID"":45,""LAT"":1.291242196,""LONG"":103.838625206,""COORD"":""(103.838625206, 1.291242196)""}","{""type"":""Point"",""coordinates"":[103.83862520600007,1.291242196000042]}"
"65f1a72d24cfb376c41da395","Feature","{""GRID_ID"":""L-9"",""ORIGIN_ID"":49,""LAT"":1.291242196,""LONG"":103.843360672,""COORD"":""(103.843360672, 1.291242196)""}","{""type"":""Point"",""coordinates"":[103.84336067200007,1.291242196000042]}"
"65f1a72d24cfb376c41da3a5","Feature","{""GRID_ID"":""M-8"",""ORIGIN_ID"":65,""LAT"":1.291925701,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.291925701)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.291925701000025]}"
